All calculations,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39,G 01,G 02,G 03,G 04,G 05,G 06,G 07,G 08,G 09,G 10
-0.010000,60.009835,60.015410,60.010750,60.007355,60.006317,60.006130,60.006196,60.006234,60.006420,60.005847,60.005948,60.005993,60.006039,60.006509,60.006081,60.005880,60.007520,60.008742,60.004026,60.003339,60.004979,60.004007,60.003949,60.005624,60.012357,60.008666,60.008130,60.006834,60.006212,60.028556,60.004584,60.004374,60.003277,60.002373,60.003070,60.002374,60.008860,60.004776,60.006547,1.000014,1.000009,1.000012,1.000011,0.999997,1.000009,1.000001,1.000020,1.000013,1.001674
-0.000000,60.011034,60.017112,60.011986,60.008264,60.007141,60.006939,60.007012,60.007054,60.007294,60.006627,60.006738,60.006785,60.006834,60.007340,60.006854,60.006629,60.008435,60.009777,60.004591,60.003820,60.005639,60.004572,60.004501,60.006344,60.013790,60.009714,60.009114,60.007706,60.007027,60.031477,60.005269,60.005030,60.003784,60.002747,60.003554,60.002753,60.010063,60.005461,60.007457,1.000019,1.000012,1.000016,1.000015,0.999997,1.000012,1.000002,1.000029,1.000018,1.001783
0.010000,60.012139,60.018631,60.013108,60.009110,60.007919,60.007703,60.007783,60.007828,60.008124,60.007368,60.007487,60.007535,60.007586,60.008121,60.007581,60.007334,60.009284,60.010728,60.005139,60.004291,60.006268,60.005120,60.005036,60.007023,60.015096,60.010685,60.010026,60.008529,60.007804,60.034006,60.005930,60.005669,60.004286,60.003121,60.004035,60.003132,60.011213,60.006131,60.008325,1.000025,1.000016,1.000021,1.000020,0.999998,1.000016,1.000003,1.000040,1.000024,1.001871
0.020000,60.013152,60.019975,60.014119,60.009896,60.008651,60.008424,60.008510,60.008559,60.008913,60.008070,60.008196,60.008244,60.008297,60.008852,60.008264,60.007998,60.010070,60.011599,60.005670,60.004752,60.006869,60.005653,60.005555,60.007665,60.016278,60.011582,60.010870,60.009308,60.008545,60.036156,60.006567,60.006293,60.004782,60.003494,60.004515,60.003513,60.012314,60.006789,60.009152,1.000032,1.000020,1.000027,1.000025,0.999999,1.000021,1.000006,1.000053,1.000030,1.001938
0.030000,60.014076,60.021148,60.015025,60.010622,60.009338,60.009104,60.009195,60.009248,60.009659,60.008734,60.008866,60.008914,60.008968,60.009537,60.008905,60.008623,60.010795,60.012391,60.006186,60.005204,60.007442,60.006171,60.006059,60.008270,60.017341,60.012409,60.011647,60.010044,60.009253,60.037936,60.007179,60.006902,60.005275,60.003868,60.004995,60.003898,60.013366,60.007437,60.009938,1.000040,1.000025,1.000034,1.000032,1.000000,1.000026,1.000008,1.000067,1.000038,1.001985
0.040000,60.014911,60.022154,60.015827,60.011292,60.009983,60.009743,60.009839,60.009895,60.010365,60.009363,60.009498,60.009546,60.009600,60.010176,60.009507,60.009211,60.011461,60.013108,60.006687,60.005649,60.007990,60.006677,60.006551,60.008842,60.018287,60.013167,60.012360,60.010738,60.009930,60.039355,60.007769,60.007498,60.005765,60.004245,60.005476,60.004288,60.014370,60.008075,60.010683,1.000048,1.000030,1.000041,1.000038,1.000002,1.000032,1.000012,1.000084,1.000046,1.002011
0.050000,60.015660,60.022996,60.016528,60.011906,60.010587,60.010344,60.010444,60.010503,60.011031,60.009958,60.010095,60.010142,60.010194,60.010772,60.010070,60.009763,60.012071,60.013751,60.007176,60.006088,60.008514,60.007171,60.007031,60.009381,60.019118,60.013858,60.013011,60.011394,60.010577,60.040417,60.008336,60.008080,60.006252,60.004626,60.005957,60.004684,60.015326,60.008704,60.011388,1.000058,1.000036,1.000049,1.000046,1.000004,1.000039,1.000016,1.000102,1.000056,1.002016
0.060000,60.016324,60.023677,60.017131,60.012468,60.011151,60.010907,60.011011,60.011073,60.011658,60.010519,60.010657,60.010702,60.010754,60.011326,60.010597,60.010280,60.012626,60.014323,60.007652,60.006522,60.009015,60.007654,60.007501,60.009889,60.019837,60.014484,60.013602,60.012011,60.011194,60.041130,60.008882,60.008649,60.006737,60.005011,60.006439,60.005087,60.016231,60.009325,60.012052,1.000068,1.000043,1.000058,1.000054,1.000007,1.000046,1.000020,1.000122,1.000067,1.002002
0.070000,60.016905,60.024199,60.017637,60.012978,60.011676,60.011434,60.011542,60.011605,60.012246,60.011048,60.011185,60.011228,60.011278,60.011839,60.011089,60.010765,60.013127,60.014825,60.008117,60.006952,60.009493,60.008126,60.007960,60.010368,60.020443,60.015046,60.014135,60.012591,60.011784,60.041500,60.009407,60.009205,60.007221,60.005401,60.006923,60.005498,60.017084,60.009938,60.012677,1.000079,1.000050,1.000068,1.000063,1.000011,1.000054,1.000025,1.000143,1.000078,1.001969
0.080000,60.017403,60.024565,60.018049,60.013439,60.012165,60.011925,60.012037,60.012103,60.012796,60.011546,60.011680,60.011721,60.011769,60.012313,60.011546,60.011217,60.013577,60.015260,60.008570,60.007378,60.009951,60.008588,60.008410,60.010817,60.020940,60.015546,60.014610,60.013135,60.012345,60.041534,60.009912,60.009749,60.007702,60.005797,60.007407,60.005916,60.017881,60.010543,60.013263,1.000091,1.000058,1.000079,1.000073,1.000015,1.000063,1.000031,1.000165,1.000090,1.001917
0.090000,60.017820,60.024779,60.018370,60.013852,60.012617,60.012383,60.012497,60.012565,60.013308,60.012013,60.012144,60.012182,60.012227,60.012749,60.011970,60.011638,60.013975,60.015629,60.009013,60.007800,60.010386,60.009039,60.008851,60.011239,60.021327,60.015984,60.015028,60.013643,60.012879,60.041239,60.010397,60.010281,60.008181,60.006198,60.007892,60.006342,60.018620,60.011139,60.013809,1.000103,1.000066,1.000090,1.000083,1.000019,1.000072,1.000038,1.000189,1.000104,1.001847
0.100000,60.018157,60.024844,60.018601,60.014218,60.013033,60.012807,60.012924,60.012993,60.013783,60.012450,60.012577,60.012611,60.012653,60.013147,60.012362,60.012029,60.014324,60.015933,60.009444,60.008218,60.010801,60.009481,60.009282,60.011634,60.021606,60.016361,60.015392,60.014115,60.013385,60.040625,60.010862,60.010799,60.008656,60.006604,60.008376,60.006775,60.019296,60.011725,60.014315,1.000117,1.000075,1.000102,1.000094,1.000025,1.000082,1.000045,1.000213,1.000118,1.001760
0.105000,60.018417,60.024763,60.018745,60.014539,60.013416,60.013199,60.013318,60.013388,60.014221,60.012858,60.012979,60.013010,60.013048,60.013509,60.012722,60.012389,60.014625,60.016174,60.009864,60.008632,60.011196,60.009911,60.009703,60.012002,60.021779,60.016679,60.015702,60.014552,60.013864,60.039702,60.011308,60.011304,60.009128,60.007015,60.008859,60.007214,60.019906,60.012301,60.014782,1.000022,0.999978,1.000061,1.000072,1.000035,1.000141,1.000157,1.000736,1.000275,1.002118
0.111667,60.018546,60.024723,60.018816,60.014699,60.013607,60.013395,60.013515,60.013586,60.014440,60.013062,60.013180,60.013209,60.013245,60.013690,60.012902,60.012570,60.014775,60.016294,60.010074,60.008839,60.011393,60.010126,60.009913,60.012186,60.021866,60.016838,60.015856,60.014770,60.014103,60.039240,60.011531,60.011556,60.009363,60.007220,60.009100,60.007433,60.020211,60.012589,60.015016,0.999915,0.999859,1.000012,1.000049,1.000072,1.000236,1.000319,1.001443,1.000498,1.002613
0.121667,60.129545,60.333648,60.303762,60.264232,60.189862,60.176613,60.191911,60.196278,60.127573,60.175239,60.175940,60.182920,60.188397,60.224766,60.266824,60.276906,60.295577,60.304816,60.251547,60.200645,60.270862,60.271222,60.288047,60.285381,60.461772,60.330640,60.330749,60.292749,60.257866,60.597958,60.050417,60.123345,60.298436,60.161873,60.250686,60.384110,60.660531,60.177635,60.095246,0.999787,0.999699,0.999953,1.000029,1.000167,1.000403,1.000580,1.002519,1.000856,1.003367
0.131667,60.183428,60.445946,60.423833,60.376821,60.270981,60.251461,60.276316,60.283758,60.187583,60.244071,60.246876,60.256471,60.263519,60.317619,60.377428,60.386525,60.413115,60.426471,60.329001,60.272867,60.372148,60.365037,60.387323,60.402872,60.638663,60.459768,60.461655,60.411738,60.362628,60.782670,60.071854,60.161670,60.367116,60.218095,60.334302,60.484877,60.922868,60.248103,60.140622,0.999702,0.999564,0.999912,1.000034,1.000305,1.000596,1.000864,1.003610,1.001243,1.004129
0.141667,60.204131,60.445316,60.449646,60.411578,60.298134,60.276262,60.307080,60.316727,60.216453,60.260619,60.266179,60.275909,60.282365,60.343092,60.404469,60.406492,60.436749,60.452145,60.317556,60.279400,60.382433,60.363718,60.383678,60.428475,60.661563,60.487599,60.489301,60.446494,60.394822,60.750358,60.082976,60.160054,60.320191,60.222083,60.329622,60.430054,60.954866,60.271402,60.165318,0.999650,0.999448,0.999885,1.000065,1.000474,1.000806,1.001163,1.004712,1.001653,1.004898
0.151667,60.208695,60.407207,60.436720,60.410169,60.299626,60.277436,60.311056,60.321916,60.227370,60.255326,60.263007,60.272028,60.277383,60.338976,60.396057,60.391619,60.423126,60.438927,60.284043,60.265437,60.360329,60.332014,60.347719,60.416131,60.630150,60.477149,60.476565,60.448177,60.399071,60.652406,60.087142,60.145539,60.255409,60.210541,60.297246,60.342182,60.902219,60.278517,60.176968,0.999621,0.999349,0.999870,1.000121,1.000660,1.001024,1.001471,1.005817,1.002078,1.005661
0.161667,60.209330,60.369796,60.413136,60.394053,60.290237,60.268691,60.302843,60.314148,60.230221,60.243003,60.251840,60.260053,60.264502,60.324353,60.376794,60.368908,60.400348,60.415452,60.255555,60.250589,60.333949,60.300051,60.312529,60.393553,60.596091,60.458294,60.453931,60.440753,60.396025,60.565497,60.086520,60.130076,60.208461,60.199033,60.265074,60.273940,60.845166,60.283163,60.183732,0.999614,0.999264,0.999867,1.000198,1.000861,1.001250,1.001786,1.006926,1.002517,1.006422
0.171667,60.207485,60.339631,60.388183,60.372925,60.277010,60.256598,60.289787,60.300974,60.228146,60.229510,60.238783,60.246254,60.250047,60.306974,60.355414,60.346237,60.377091,60.390960,60.233974,60.238190,60.310304,60.274018,60.284050,60.369773,60.570587,60.439905,60.430899,60.432349,60.392582,60.500780,60.084878,60.117316,60.176571,60.190704,60.239668,60.226318,60.801406,60.289456,60.186372,0.999624,0.999193,0.999876,1.000297,1.001074,1.001481,1.002107,1.008036,1.002968,1.007178
0.181667,60.204999,60.319726,60.366077,60.351199,60.263066,60.243993,60.275304,60.286007,60.223546,60.217154,60.226325,60.233197,60.236596,60.290230,60.335949,60.327206,60.357291,60.369643,60.219988,60.229730,60.292349,60.256174,60.264572,60.349033,60.558878,60.425839,60.411670,60.426543,60.391707,60.463350,60.083148,60.108161,60.158168,60.186545,60.223054,60.198855,60.779910,60.298879,60.186602,0.999648,0.999135,0.999895,1.000416,1.001296,1.001717,1.002432,1.009147,1.003428,1.007929
0.191667,60.202539,60.309257,60.348015,60.330821,60.249819,60.232134,60.261065,60.271066,60.217748,60.206704,60.215396,60.221821,60.225049,60.275427,60.319777,60.312688,60.341971,60.352664,60.212545,60.225205,60.280281,60.245926,60.253298,60.332600,60.560537,60.416908,60.397290,60.424418,60.394246,60.450307,60.081757,60.102438,60.150178,60.186327,60.214508,60.187103,60.780270,60.311596,60.185365,0.999685,0.999090,0.999925,1.000553,1.001525,1.001957,1.002760,1.010259,1.003897,1.008675
0.200000,60.200681,60.306534,60.336066,60.315421,60.239705,60.223148,60.249923,60.259252,60.212528,60.199459,60.207569,60.213726,60.216942,60.264796,60.308930,60.303843,60.332504,60.341784,60.210150,60.223868,60.274174,60.242231,60.249106,60.322183,60.570797,60.413148,60.388876,60.425457,60.398892,60.455109,60.080955,60.099782,60.149138,60.188515,60.212512,60.186405,60.795360,60.324368,60.183628,0.999726,0.999063,0.999958,1.000683,1.001721,1.002159,1.003036,1.011185,1.004293,1.009292
0.205000,60.198641,60.308415,60.324271,60.298041,60.228277,60.213089,60.237047,60.245467,60.205941,60.192053,60.199285,60.205228,60.208530,60.253464,60.298267,60.296199,60.324135,60.331583,60.210780,60.224890,60.270514,60.242265,60.248756,60.312644,60.591999,60.412464,60.382143,60.430347,60.408110,60.475106,60.080583,60.098606,60.152611,60.193962,60.214966,60.192985,60.828040,60.343518,60.180989,0.999856,0.999181,1.000080,1.000819,1.001865,1.002264,1.003136,1.011351,1.004513,1.009063
0.211667,60.197417,60.309543,60.317194,60.287613,60.221421,60.207054,60.229321,60.237197,60.201989,60.187610,60.194315,60.200129,60.203482,60.246665,60.291870,60.291612,60.319113,60.325463,60.211159,60.225503,60.268318,60.242285,60.248546,60.306921,60.604720,60.412054,60.378104,60.433282,60.413640,60.487104,60.080360,60.097900,60.154694,60.197230,60.216439,60.196932,60.847648,60.355008,60.179405,1.000029,0.999333,1.000243,1.001013,1.002045,1.002395,1.003271,1.011557,1.004793,1.008760
0.221667,60.131112,60.111997,60.170692,60.209210,60.191611,60.186167,60.200539,60.205306,60.179950,60.159966,60.168645,60.168326,60.165978,60.181751,60.179194,60.161747,60.179296,60.180344,60.096601,60.131139,60.131316,60.095689,60.088874,60.168986,60.276805,60.241493,60.220403,60.287772,60.284963,60.086816,60.165305,60.095702,60.021280,60.122169,60.075266,59.963767,60.331016,60.265271,60.163317,1.000283,0.999550,1.000489,1.001317,1.002293,1.002579,1.003469,1.011835,1.005189,1.008292
0.231667,60.103640,60.044967,60.109689,60.159921,60.161249,60.159693,60.168889,60.171831,60.156976,60.136256,60.143929,60.141787,60.138141,60.142591,60.127394,60.108988,60.122726,60.120165,60.061496,60.098042,60.080997,60.048013,60.038921,60.111789,60.171273,60.180927,60.159482,60.230791,60.235742,59.957879,60.177219,60.091288,59.992709,60.098057,60.031171,59.915102,60.163889,60.236675,60.147241,1.000530,0.999757,1.000734,1.001634,1.002512,1.002746,1.003655,1.012065,1.005552,1.007799
0.241667,60.092815,60.040157,60.088680,60.122268,60.127885,60.127767,60.132966,60.134668,60.130874,60.112095,60.117190,60.115395,60.112688,60.113775,60.103850,60.092841,60.105544,60.099993,60.064643,60.094330,60.072686,60.049133,60.042682,60.093034,60.174897,60.173532,60.144732,60.216953,60.225514,59.961004,60.150370,60.084118,60.015202,60.098966,60.036363,59.956253,60.169687,60.238979,60.128595,1.000768,0.999958,1.000978,1.001954,1.002708,1.002903,1.003827,1.012247,1.005888,1.007275
0.251667,60.089936,60.056093,60.085372,60.097471,60.102349,60.102730,60.104897,60.105701,60.110139,60.094723,60.097301,60.096400,60.095090,60.095763,60.095253,60.092562,60.105280,60.097465,60.079469,60.101392,60.080614,60.066929,60.063506,60.091257,60.213871,60.186039,60.148741,60.221687,60.232089,60.003826,60.120790,60.079873,60.048241,60.109150,60.058709,60.015495,60.230278,60.253707,60.113399,1.000996,1.000156,1.001219,1.002272,1.002885,1.003051,1.003983,1.012384,1.006199,1.006717
0.261667,60.090482,60.075899,60.089245,60.082883,60.085802,60.086367,60.086232,60.086348,60.095864,60.084566,60.085115,60.085088,60.085037,60.086181,60.094549,60.098861,60.111774,60.102201,60.096488,60.111965,60.093922,60.088592,60.087460,60.096725,60.258990,60.204342,60.159438,60.233658,60.245177,60.050500,60.098821,60.079454,60.079308,60.122145,60.084860,60.069845,60.299446,60.272493,60.102499,1.001215,1.000352,1.001455,1.002585,1.003045,1.003193,1.004123,1.012478,1.006489,1.006127
0.271667,60.092720,60.093652,60.095664,60.075615,60.076688,60.077346,60.075488,60.075074,60.087382,60.080218,60.079241,60.079915,60.080848,60.082584,60.098113,60.107767,60.120678,60.109645,60.112938,60.123494,60.108353,60.109532,60.109932,60.105198,60.300011,60.222930,60.171831,60.247870,60.260220,60.089185,60.085382,60.082271,60.106091,60.135491,60.109754,60.114317,60.361255,60.291766,60.095831,1.001426,1.000547,1.001687,1.002890,1.003192,1.003329,1.004247,1.012534,1.006759,1.005508
0.281667,60.095569,60.107641,60.102605,60.073443,60.073163,60.073904,60.070758,60.069929,60.083288,60.080176,60.078090,60.079278,60.080923,60.083111,60.104004,60.117517,60.130116,60.117793,60.127997,60.134977,60.122301,60.128347,60.129687,60.114767,60.334280,60.239893,60.183947,60.262234,60.275309,60.117256,60.079125,60.087529,60.128539,60.148287,60.131866,60.149167,60.411828,60.310151,60.092375,1.001628,1.000741,1.001913,1.003188,1.003327,1.003461,1.004357,1.012555,1.007011,1.004865
0.291667,60.098770,60.118004,60.109362,60.074801,60.073668,60.074499,60.070410,60.069259,60.082548,60.083203,60.080324,60.081871,60.084009,60.086468,60.111236,60.127446,60.139424,60.125910,60.141784,60.146185,60.135351,60.144948,60.146843,60.124676,60.362021,60.254850,60.195190,60.275990,60.289749,60.135663,60.078112,60.094510,60.147662,60.160326,60.151075,60.176398,60.451749,60.327244,60.091522,1.001821,1.000935,1.002134,1.003475,1.003451,1.003588,1.004454,1.012546,1.007247,1.004205
0.301667,60.102262,60.125394,60.115756,60.078649,60.077065,60.077988,60.073233,60.071839,60.084358,60.088409,60.084969,60.086757,60.089223,60.091792,60.119279,60.137313,60.148405,60.133768,60.154557,60.157096,60.147499,60.159632,60.161839,60.134629,60.384300,60.267957,60.205481,60.288936,60.303355,60.146268,60.080761,60.102675,60.164357,60.171637,60.167738,60.197915,60.482867,60.343031,60.092758,1.002007,1.001128,1.002349,1.003753,1.003567,1.003712,1.004539,1.012510,1.007469,1.003533
0.311667,60.106060,60.130524,60.121811,60.084294,60.082557,60.083568,60.078371,60.076800,60.088130,60.095174,60.091345,60.093286,60.095956,60.098515,60.127839,60.147044,60.157043,60.141341,60.166549,60.167738,60.158867,60.172761,60.175131,60.144518,60.402255,60.279506,60.214915,60.301080,60.316141,60.150921,60.085934,60.111644,60.179284,60.182312,60.182315,60.215224,60.507102,60.357637,60.095688,1.002186,1.001321,1.002558,1.004019,1.003675,1.003832,1.004612,1.012451,1.007677,1.002855
0.321667,60.110187,60.134000,60.127601,60.091258,60.089579,60.090667,60.085211,60.083521,60.093428,60.103057,60.098971,60.101001,60.103783,60.106243,60.136730,60.156617,60.165368,60.148657,60.177929,60.178137,60.169582,60.184651,60.187086,60.154299,60.416848,60.289778,60.223618,60.312493,60.328176,60.151167,60.092841,60.121144,60.192897,60.192444,60.195225,60.229409,60.526064,60.371208,60.099999,1.002358,1.001513,1.002760,1.004275,1.003776,1.003950,1.004676,1.012372,1.007872,1.002178
0.331667,60.116066,60.136815,60.133660,60.099712,60.098279,60.099411,60.093945,60.092233,60.101331,60.112182,60.107969,60.110026,60.112835,60.115137,60.146155,60.166295,60.173711,60.156117,60.189012,60.188458,60.179960,60.195694,60.198125,60.164209,60.428837,60.299134,60.231912,60.323347,60.339616,60.148359,60.101162,60.131249,60.205704,60.202183,60.206893,60.241269,60.540930,60.383918,60.107337,1.002524,1.001705,1.002957,1.004519,1.003872,1.004065,1.004730,1.012277,1.008056,1.001506
0.341667,60.119905,60.137940,60.138815,60.108061,60.106919,60.108119,60.102594,60.100817,60.107838,60.121180,60.116868,60.118936,60.121742,60.123836,60.155153,60.175353,60.181312,60.162787,60.199322,60.198297,60.189520,60.205682,60.208062,60.173537,60.438734,60.307399,60.239321,60.333456,60.350318,60.143051,60.110036,60.141134,60.217332,60.211399,60.217351,60.251243,60.552764,60.395773,60.112438,1.002683,1.001896,1.003148,1.004751,1.003964,1.004179,1.004776,1.012169,1.008229,1.000845
0.351667,60.124442,60.138623,60.143943,60.116997,60.116232,60.117482,60.112024,60.110229,60.115444,60.130622,60.126281,60.128328,60.131087,60.132944,60.164221,60.184257,60.188715,60.169336,60.209280,60.207919,60.198689,60.215008,60.217298,60.182720,60.446988,60.314937,60.246285,60.343034,60.360469,60.136223,60.119459,60.151129,60.228335,60.220256,60.226948,60.259787,60.562168,60.406930,60.118829,1.002837,1.002087,1.003333,1.004971,1.004052,1.004290,1.004815,1.012051,1.008391,1.000200
0.361667,60.129351,60.138940,60.148955,60.126237,60.125915,60.127204,60.121897,60.120117,60.123692,60.140269,60.135948,60.137951,60.140631,60.142225,60.173210,60.192919,60.195851,60.175681,60.218854,60.217269,60.207443,60.223727,60.225893,60.191666,60.453890,60.321805,60.252791,60.352087,60.370079,60.128379,60.129208,60.161090,60.238743,60.228760,60.235804,60.267161,60.569642,60.417440,60.125981,1.002986,1.002278,1.003511,1.005178,1.004137,1.004399,1.004848,1.011924,1.008545,0.999575
0.371667,60.134420,60.138963,60.153782,60.135564,60.135738,60.137060,60.131957,60.130213,60.132264,60.149937,60.145673,60.147613,60.150190,60.151501,60.182004,60.201269,60.202664,60.181756,60.228010,60.226297,60.215764,60.231881,60.233894,60.200299,60.459667,60.328049,60.258829,60.360621,60.379162,60.119932,60.139122,60.170909,60.248566,60.236914,60.244013,60.273566,60.575568,60.427348,60.133539,1.003130,1.002468,1.003683,1.005373,1.004220,1.004506,1.004875,1.011792,1.008689,0.998974
0.381667,60.139501,60.138757,60.158370,60.144792,60.145507,60.146861,60.141995,60.140299,60.140925,60.159472,60.155291,60.157154,60.159610,60.160618,60.190503,60.209247,60.209109,60.187510,60.236722,60.234963,60.223635,60.239498,60.241334,60.208556,60.464501,60.333708,60.264393,60.368642,60.387724,60.111217,60.149054,60.180495,60.257817,60.244716,60.251646,60.279158,60.580250,60.436692,60.141255,1.003270,1.002658,1.003850,1.005555,1.004300,1.004611,1.004897,1.011657,1.008824,0.998403
